"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ONGC","EQ","26-May-2017","        174.15","        174.70","        177.50","        174.30","        175.80","        175.75","        175.80","    6460263","          1135727844.80","      57790","    3992808","         61.81"
"ONGC","EQ","29-May-2017","        175.75","        174.50","        177.30","        171.20","        175.10","        175.75","        174.56","    6629243","          1157173620.80","      39660","    2842125","         42.87"
"ONGC","EQ","30-May-2017","        175.75","        175.10","        179.35","        173.10","        178.50","        178.65","        177.55","    6532975","          1159907161.20","      40887","    3917967","         59.97"
"ONGC","EQ","31-May-2017","        178.65","        178.55","        178.55","        175.25","        177.05","        177.00","        176.86","   10715866","          1895189423.65","      73456","    8125400","         75.83"
"ONGC","EQ","01-Jun-2017","        177.00","        176.90","        176.90","        172.60","        174.55","        174.00","        174.42","    8676208","          1513271051.30","      42161","    6252074","         72.06"
"ONGC","EQ","02-Jun-2017","        174.00","        174.90","        175.45","        173.10","        174.00","        174.00","        174.03","    4039371","           702989682.75","      24796","    3017795","         74.71"
"ONGC","EQ","05-Jun-2017","        174.00","        174.35","        178.50","        174.10","        175.45","        175.75","        176.58","    5836542","          1030613942.75","      34209","    3004897","         51.48"
"ONGC","EQ","06-Jun-2017","        175.75","        176.00","        176.00","        171.10","        171.40","        171.45","        172.24","    6437174","          1108768198.80","      77985","    3818397","         59.32"
"ONGC","EQ","07-Jun-2017","        171.45","        171.50","        174.00","        171.50","        172.25","        172.05","        172.64","    7404338","          1278283997.05","      51142","    4737748","         63.99"
"ONGC","EQ","08-Jun-2017","        172.05","        171.25","        171.70","        169.00","        171.05","        170.55","        170.23","    5798852","           987139874.55","      42764","    2780694","         47.95"
"ONGC","EQ","09-Jun-2017","        170.55","        171.05","        171.25","        167.80","        169.50","        169.20","        168.92","    6859186","          1158640193.45","      72242","    4383581","         63.91"
"ONGC","EQ","12-Jun-2017","        169.20","        169.50","        170.50","        168.15","        168.55","        168.50","        169.14","    4382264","           741206415.85","      43605","    2484028","         56.68"
"ONGC","EQ","13-Jun-2017","        168.50","        169.10","        169.75","        167.85","        169.15","        169.10","        168.71","    5988071","          1010248600.55","      43432","    4277653","         71.44"
"ONGC","EQ","14-Jun-2017","        169.10","        169.20","        170.05","        168.15","        169.10","        169.50","        169.36","    5698882","           965172549.75","      53035","    3682203","         64.61"
"ONGC","EQ","15-Jun-2017","        169.50","        170.05","        170.90","        166.80","        167.25","        167.15","        167.91","    8396153","          1409816696.50","      63803","    5693046","         67.81"
"ONGC","EQ","16-Jun-2017","        167.15","        166.50","        167.90","        165.85","        166.95","        167.15","        167.11","    9457498","          1580400142.40","      65008","    6943684","         73.42"
"ONGC","EQ","19-Jun-2017","        167.15","        167.50","        167.80","        164.60","        166.00","        166.05","        165.80","    5175569","           858125259.45","      41256","    3304428","         63.85"
"ONGC","EQ","20-Jun-2017","        166.05","        167.00","        170.35","        165.80","        169.10","        169.10","        168.12","    6212122","          1044381562.05","      62322","    3853597","         62.03"
"ONGC","EQ","21-Jun-2017","        169.10","        168.20","        168.45","        164.35","        164.60","        164.80","        165.29","    8411843","          1390426474.75","     107629","    5719332","         67.99"
"ONGC","EQ","22-Jun-2017","        164.80","        164.80","        165.15","        160.05","        160.55","        160.45","        162.28","    8856235","          1437165974.90","      69182","    5860685","         66.18"
"ONGC","EQ","23-Jun-2017","        160.45","        161.20","        161.35","        157.30","        158.55","        158.10","        158.39","    4803636","           760836695.55","      55297","    2687148","         55.94"
"ONGC","EQ","27-Jun-2017","        158.10","        158.95","        160.85","        155.20","        160.00","        159.95","        158.26","    7105195","          1124440370.25","      56237","    4630098","         65.16"
"ONGC","EQ","28-Jun-2017","        159.95","        161.05","        161.45","        157.50","        157.75","        158.10","        159.08","    7419236","          1180244500.65","      52473","    4606152","         62.08"
