"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","25-May-2017","        283.15","        284.15","        291.35","        283.55","        290.00","        290.10","        287.27","   15018467","          4314318306.05","     112707","    5507686","         36.67"
"SBIN","N2","25-May-2017","      10935.00","      11186.80","      11186.80","       9650.00","      10749.00","      10741.50","      10561.57","       1787","            18873531.55","        143","       1414","         79.13"
"SBIN","N5","25-May-2017","      11402.00","      11400.01","      11405.00","      11352.00","      11400.00","      11400.00","      11379.74","        292","             3322882.99","         32","        290","         99.32"
"SBIN","EQ","26-May-2017","        290.10","        290.50","        291.00","        285.30","        289.00","        288.45","        287.71","   12304394","          3540130788.00","     139676","    4485862","         36.46"
"SBIN","N2","26-May-2017","      10741.50","      10800.00","      10877.00","      10780.00","      10800.00","      10849.76","      10833.04","        269","             2914086.95","         53","        249","         92.57"
"SBIN","N5","26-May-2017","      11400.00","      11375.00","      11400.00","      11375.00","      11395.00","      11398.16","      11396.94","        140","             1595571.10","         23","        131","         93.57"
"SBIN","N6","26-May-2017","      11000.00","      10800.00","      10800.00","      10800.00","      10800.00","      10800.00","      10800.00","         10","              108000.00","          1","         10","        100.00"
"SBIN","EQ","29-May-2017","        288.45","        288.90","        290.85","        283.30","        283.60","        284.00","        286.97","   10619968","          3047571521.75","      86060","    3905775","         36.78"
"SBIN","N2","29-May-2017","      10849.76","      10849.00","      10900.00","      10825.00","      10900.00","      10900.00","      10885.74","        263","             2862948.70","         21","        257","         97.72"
"SBIN","N5","29-May-2017","      11398.16","      11380.00","      11380.00","      11351.00","      11370.10","      11372.30","      11370.23","        191","             2171714.73","         36","        181","         94.76"
"SBIN","N6","29-May-2017","      10800.00","      10802.00","      10802.00","      10802.00","      10802.00","      10802.00","      10802.00","          3","               32406.00","          1","          3","        100.00"
"SBIN","EQ","30-May-2017","        284.00","        283.40","        289.75","        281.05","        288.50","        288.85","        286.94","    9643418","          2767074545.40","     108934","    2247782","         23.31"
"SBIN","N2","30-May-2017","      10900.00","      10900.00","      10944.99","      10900.00","      10930.00","      10930.00","      10930.89","         43","              470028.40","         13","         43","        100.00"
"SBIN","N5","30-May-2017","      11372.30","      11380.00","      11420.00","      11380.00","      11420.00","      11406.00","      11387.10","        161","             1833322.67","         30","        154","         95.65"
"SBIN","N6","30-May-2017","      10802.00","      10901.00","      11249.75","      10901.00","      11000.00","      11000.00","      11174.94","          8","               89399.50","          3","          6","         75.00"
"SBIN","EQ","31-May-2017","        288.85","        289.00","        291.50","        287.20","        288.15","        288.30","        289.09","   10697171","          3092409483.45","     125841","    3670266","         34.31"
"SBIN","N2","31-May-2017","      10930.00","      10935.10","      10935.10","      10935.10","      10935.10","      10935.10","      10935.10","          1","               10935.10","          1","          1","        100.00"
"SBIN","N5","31-May-2017","      11406.00","      11400.00","      11450.00","      11395.00","      11450.00","      11413.80","      11408.54","        134","             1528744.98","         18","        132","         98.51"
"SBIN","EQ","01-Jun-2017","        288.30","        287.95","        291.40","        284.60","        287.85","        287.45","        287.55","   12186700","          3504241899.35","      90032","    4441211","         36.44"
"SBIN","N2","01-Jun-2017","      10935.10","      10984.89","      11050.00","      10935.00","      11050.00","      11049.73","      11011.74","        252","             2774958.67","         49","        191","         75.79"
"SBIN","N5","01-Jun-2017","      11413.80","      11450.00","      11450.00","      11420.00","      11420.00","      11420.71","      11426.67","        132","             1508320.05","         28","        132","        100.00"
"SBIN","EQ","02-Jun-2017","        287.45","        289.90","        290.50","        286.35","        287.20","        287.05","        287.93","   12004368","          3456463588.45","      96619","    5041603","         42.00"
"SBIN","N2","02-Jun-2017","      11049.73","      11000.00","      11059.99","      11000.00","      11036.00","      11038.00","      11045.10","        112","             1237050.99","         15","         98","         87.50"
"SBIN","N5","02-Jun-2017","      11420.71","      11420.00","      11449.00","      11418.60","      11430.00","      11424.93","      11426.77","        253","             2890973.97","         29","        253","        100.00"
"SBIN","EQ","05-Jun-2017","        287.05","        288.05","        289.75","        286.75","        287.25","        287.25","        287.93","    7917410","          2279655967.40","      75836","    3335513","         42.13"
"SBIN","N2","05-Jun-2017","      11038.00","      11050.00","      11078.00","      11031.00","      11050.00","      11050.00","      11050.03","         76","              839801.99","         16","         76","        100.00"
"SBIN","N5","05-Jun-2017","      11424.93","      11408.10","      11525.00","      11408.10","      11488.90","      11475.90","      11467.34","        165","             1892111.80","         24","        147","         89.09"
"SBIN","N6","05-Jun-2017","      11000.00","      11250.00","      11250.00","      11250.00","      11250.00","      11250.00","      11250.00","          6","               67500.00","          4","          6","        100.00"
"SBIN","EQ","06-Jun-2017","        287.25","        292.00","        292.95","        286.60","        287.40","        287.30","        289.52","   12346121","          3574474829.30","      82737","    3214476","         26.04"
"SBIN","N2","06-Jun-2017","      11050.00","      11049.00","      11050.00","      11040.00","      11040.00","      11040.00","      11044.23","         66","              728919.05","         10","         65","         98.48"
"SBIN","N5","06-Jun-2017","      11475.90","      11500.00","      11509.00","      11460.00","      11509.00","      11509.00","      11479.02","        102","             1170859.99","         12","         91","         89.22"
"SBIN","N6","06-Jun-2017","      11250.00","      10950.00","      10950.00","      10900.75","      10900.75","      10931.53","      10931.53","          8","               87452.25","          2","          8","        100.00"
"SBIN","EQ","07-Jun-2017","        287.30","        288.20","        291.50","        287.20","        290.90","        290.55","        289.45","   10864355","          3144649992.55","      88131","    4361663","         40.15"
"SBIN","N2","07-Jun-2017","      11040.00","      11050.00","      11100.00","      11050.00","      11090.00","      11088.46","      11084.15","        150","             1662622.86","         20","        150","        100.00"
"SBIN","N5","07-Jun-2017","      11509.00","      11450.00","      11535.00","      11445.00","      11535.00","      11534.05","      11486.14","        110","             1263475.02","         19","        100","         90.91"
"SBIN","N6","07-Jun-2017","      10931.53","      10900.00","      10988.00","      10900.00","      10925.00","      10925.00","      10907.45","         42","              458113.00","         10","         42","        100.00"
"SBIN","EQ","08-Jun-2017","        290.55","        292.00","        292.00","        287.75","        288.45","        288.60","        288.92","    8370299","          2418368831.45","      69363","    2810837","         33.58"
"SBIN","N2","08-Jun-2017","      11088.46","      11060.00","      11120.00","      11060.00","      11119.00","      11119.00","      11104.07","         46","              510786.99","          8","         46","        100.00"
"SBIN","N5","08-Jun-2017","      11534.05","      11420.00","      11554.00","      11420.00","      11554.00","      11553.75","      11546.71","        151","             1743553.50","         34","        148","         98.01"
"SBIN","N6","08-Jun-2017","      10925.00","      11150.00","      11150.00","      11150.00","      11150.00","      11150.00","      11150.00","         20","              223000.00","          1","         20","        100.00"
"SBIN","EQ","09-Jun-2017","        288.60","        288.30","        289.40","        285.80","        288.45","        288.55","        287.97","   10804887","          3111498779.90","      74956","    4250568","         39.34"
"SBIN","N2","09-Jun-2017","      11119.00","      11122.00","      11122.00","      11060.00","      11060.00","      11060.00","      11110.38","         78","              866609.75","         16","         78","        100.00"
"SBIN","N5","09-Jun-2017","      11553.75","      11472.95","      11517.50","      11411.00","      11422.01","      11429.92","      11462.59","        476","             5456194.24","         55","        447","         93.91"
"SBIN","EQ","12-Jun-2017","        288.55","        286.75","        287.00","        284.30","        284.65","        284.95","        285.59","   10326846","          2949192646.10","      76716","    4495414","         43.53"
"SBIN","N5","12-Jun-2017","      11429.92","      11450.00","      11450.00","      11411.00","      11411.00","      11411.00","      11429.95","         20","              228599.00","          4","         20","        100.00"
"SBIN","EQ","13-Jun-2017","        284.95","        285.40","        287.00","        283.00","        283.45","        283.85","        284.61","    9171049","          2610171946.60","      68558","    4498064","         49.05"
"SBIN","N2","13-Jun-2017","      11060.00","      11085.00","      11122.50","      11080.00","      11122.50","      11122.50","      11105.15","         46","              510837.00","         13","         46","        100.00"
"SBIN","N5","13-Jun-2017","      11411.00","      11480.00","      11500.00","      11460.00","      11475.00","      11481.05","      11477.88","         48","              550938.00","         24","         48","        100.00"
"SBIN","EQ","14-Jun-2017","        283.85","        285.90","        286.30","        282.60","        284.40","        284.20","        284.59","   11566255","          3291658444.30","      75361","    4538695","         39.24"
"SBIN","N2","14-Jun-2017","      11122.50","      11122.00","      11150.00","      11122.00","      11150.00","      11150.00","      11144.34","         75","              835825.50","         22","         75","        100.00"
"SBIN","N5","14-Jun-2017","      11481.05","      11456.00","      11500.00","      11456.00","      11475.00","      11476.00","      11477.60","         75","              860820.00","         18","         70","         93.33"
"SBIN","EQ","15-Jun-2017","        284.20","        283.85","        285.80","        281.35","        283.85","        284.00","        283.89","   11925641","          3385597002.35","      75616","    4812746","         40.36"
"SBIN","N2","15-Jun-2017","      11150.00","      11150.00","      11189.00","      11150.00","      11189.00","      11188.36","      11170.83","         35","              390979.00","          7","         35","        100.00"
"SBIN","N5","15-Jun-2017","      11476.00","      11549.00","      11574.00","      11485.00","      11574.00","      11520.85","      11507.19","         75","              863039.28","         21","         57","         76.00"
"SBIN","EQ","16-Jun-2017","        284.00","        284.70","        286.65","        283.25","        285.95","        285.95","        285.39","   19246907","          5492782510.95","      89228","   10403149","         54.05"
"SBIN","N2","16-Jun-2017","      11188.36","      11100.00","      11151.00","      10100.00","      11151.00","      11151.00","      10770.98","         72","              775510.90","         21","         52","         72.22"
"SBIN","N5","16-Jun-2017","      11520.85","      11456.00","      11499.00","      10751.00","      11480.00","      11487.14","      11406.39","        122","             1391579.75","         20","        106","         86.89"
"SBIN","N6","16-Jun-2017","      11150.00","      11250.00","      11250.00","      11250.00","      11250.00","      11250.00","      11250.00","          3","               33750.00","          1","          3","        100.00"
"SBIN","EQ","19-Jun-2017","        285.95","        286.60","        289.85","        285.30","        287.70","        288.85","        288.16","   14848661","          4278771917.65","      83034","    9109221","         61.35"
"SBIN","N2","19-Jun-2017","      11151.00","      11130.00","      11155.00","      11130.00","      11155.00","      11152.84","      11144.94","         79","              880450.00","         10","         79","        100.00"
"SBIN","N5","19-Jun-2017","      11487.14","      10150.00","      11500.00","      10150.00","      11480.00","      11480.00","      11351.23","        108","             1225933.00","         24","         98","         90.74"
"SBIN","N6","19-Jun-2017","      11250.00","      11245.00","      11250.00","      11245.00","      11250.00","      11250.00","      11247.00","         10","              112470.00","          3","         10","        100.00"
"SBIN","EQ","20-Jun-2017","        288.85","        287.60","        291.00","        285.60","        290.20","        290.10","        288.98","   14927701","          4313743748.45","      83635","    6159197","         41.26"
"SBIN","N2","20-Jun-2017","      11152.84","      11151.01","      11151.01","      11145.00","      11150.00","      11150.00","      11149.86","         44","              490594.04","          7","         44","        100.00"
"SBIN","N5","20-Jun-2017","      11480.00","      11450.00","      11520.00","      11450.00","      11499.00","      11484.00","      11464.37","        389","             4459640.50","         36","        389","        100.00"
"SBIN","EQ","21-Jun-2017","        290.10","        288.25","        292.45","        288.25","        290.60","        290.90","        290.88","   10537576","          3065220464.45","      95971","    5410179","         51.34"
"SBIN","N2","21-Jun-2017","      11150.00","      11189.00","      11191.00","      11160.00","      11191.00","      11188.40","      11188.63","         19","              212583.99","          9","         17","         89.47"
"SBIN","N5","21-Jun-2017","      11484.00","      11499.00","      11499.00","      11435.05","      11453.00","      11474.27","      11472.85","        309","             3545109.75","         37","        294","         95.15"
"SBIN","EQ","22-Jun-2017","        290.90","        291.25","        295.90","        291.05","        293.70","        294.50","        293.83","   26110402","          7672018626.05","     118536","   16841345","         64.50"
"SBIN","N2","22-Jun-2017","      11188.40","      11151.00","      11151.00","      11151.00","      11151.00","      11151.00","      11151.00","          1","               11151.00","          1","          1","        100.00"
"SBIN","N5","22-Jun-2017","      11474.27","      11441.05","      11499.00","      11441.05","      11495.00","      11495.00","      11469.41","        359","             4117517.61","         46","        350","         97.49"
"SBIN","EQ","23-Jun-2017","        294.50","        294.75","        295.55","        287.80","        288.95","        288.95","        290.43","   20648597","          5997037189.70","     130127","   10023309","         48.54"
"SBIN","N2","23-Jun-2017","      11151.00","      11151.00","      11188.00","      11151.00","      11188.00","      11180.50","      11179.12","        137","             1531540.00","         18","        137","        100.00"
"SBIN","N5","23-Jun-2017","      11495.00","      11510.00","      11510.00","      11500.00","      11500.00","      11500.00","      11506.15","         39","              448740.00","          6","         39","        100.00"
"SBIN","EQ","27-Jun-2017","        288.95","        289.25","        289.45","        276.80","        280.00","        279.65","        280.39","   25523129","          7156505138.90","     183908","   12360393","         48.43"
"SBIN","N2","27-Jun-2017","      11180.50","      11188.00","      11188.00","      11151.00","      11155.00","      11155.00","      11161.22","         53","              591544.50","         16","         52","         98.11"
"SBIN","N5","27-Jun-2017","      11500.00","      11510.00","      11526.00","      11501.00","      11526.00","      11512.05","      11512.46","        165","             1899556.00","         34","        164","         99.39"
"SBIN","EQ","28-Jun-2017","        279.65","        277.60","        278.45","        273.75","        276.25","        276.40","        275.86","   17241351","          4756142542.20","     140286","    7885310","         45.73"
"SBIN","N2","28-Jun-2017","      11155.00","      11209.00","      11209.00","      11209.00","      11209.00","      11209.00","      11209.00","          1","               11209.00","          1","          1","        100.00"
"SBIN","N5","28-Jun-2017","      11512.05","      11501.00","      11525.00","      11472.50","      11525.00","      11516.18","      11504.38","        253","             2910607.00","         22","        253","        100.00"
"SBIN","N6","28-Jun-2017","      11250.00","      10702.00","      10702.00","      10702.00","      10702.00","      10702.00","      10702.00","         20","              214040.00","          8","         20","        100.00"
"SBIN","EQ","29-Jun-2017","        276.40","        277.15","        279.30","        271.65","        272.80","        272.45","        274.43","   30457363","          8358324621.60","     162221","   20800813","         68.29"
"SBIN","N2","29-Jun-2017","      11209.00","      11195.00","      11207.00","      11195.00","      11207.00","      11207.00","      11202.74","        115","             1288315.00","         18","        115","        100.00"
"SBIN","N5","29-Jun-2017","      11516.18","      11501.00","      11600.00","      11501.00","      11600.00","      11585.09","      11552.51","        101","             1166804.00","         20","        101","        100.00"
"SBIN","EQ","30-Jun-2017","        272.45","        272.00","        274.75","        269.70","        273.55","        273.65","        272.33","   12235472","          3332080253.90","     110521","    5150709","         42.10"
"SBIN","N2","30-Jun-2017","      11207.00","      11210.00","      11250.00","      11210.00","      11250.00","      11230.50","      11230.50","          4","               44922.00","          3","          2","         50.00"
